city,config,cost_model,method,j_bar_sar_zone_day,switches_zone_day,saving_vs_therm_pct
riyadh,1x1,S,THERM,2.15,5.3,
riyadh,1x1,S,GA,1.92,3.6,10.7
riyadh,1x1,S,RBRL,1.75,2.7,18.6
riyadh,4x4,L,THERM,2.05,5.1,
riyadh,4x4,L,GA,1.86,3.5,9.3
riyadh,4x4,L,RBRL,1.73,2.6,15.6
riyadh,4x4,E,THERM,2.13,5.1,
riyadh,4x4,E,GA,1.93,3.4,9.4
riyadh,4x4,E,RBRL,1.80,2.5,15.5
riyadh,4x4,S,THERM,2.42,5.0,
riyadh,4x4,S,GA,2.16,3.3,10.7
riyadh,4x4,S,RBRL,1.98,2.5,18.2
jeddah,4x4,L,THERM,1.85,4.9,
jeddah,4x4,L,GA,1.67,3.3,9.7
jeddah,4x4,L,RBRL,1.58,2.0,14.6
jeddah,4x4,E,THERM,1.92,4.9,
jeddah,4x4,E,GA,1.73,3.2,9.9
jeddah,4x4,E,RBRL,1.64,1.9,14.6
jeddah,4x4,S,THERM,2.17,4.8,
jeddah,4x4,S,GA,1.93,3.1,11.1
jeddah,4x4,S,RBRL,1.81,1.8,16.6
